epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.15516,0.94965,3.83072,1.01916,0.00285,0.85714,0.17394,0.14127,0.75683,3.23681,0.89755,0.00040008,0.00013336,0.00040008,0.00013336,0.00040008,0.00013336,0.00040008,0.00013336
2,8.87842,0.85905,3.80285,1.00793,0.00311,0.92857,0.26926,0.21991,0.71896,3.19306,0.88046,0.000833337,0.000277779,0.000833337,0.000277779,0.000833337,0.000277779,0.000833337,0.000277779
3,12.3467,0.73843,3.58629,0.94724,0.00334,1,0.3464,0.29123,0.74187,3.13266,0.86901,0.00124877,0.000416257,0.00124877,0.000416257,0.00124877,0.000416257,0.00124877,0.000416257
4,15.7343,0.77063,3.62517,0.93029,0.00333,1,0.46255,0.37897,0.72234,3.05022,0.85534,0.00164638,0.000548793,0.00164638,0.000548793,0.00164638,0.000548793,0.00164638,0.000548793
5,19.123,0.69816,3.36862,0.91185,0.00333,1,0.66308,0.54344,0.67613,2.92064,0.83366,0.00202617,0.000675388,0.00202617,0.000675388,0.00202617,0.000675388,0.00202617,0.000675388
6,22.5709,0.74297,3.02183,0.91457,0.00333,1,0.76077,0.60049,0.67242,2.73749,0.82918,0.00238813,0.000796043,0.00238813,0.000796043,0.00238813,0.000796043,0.00238813,0.000796043
7,25.8556,0.72122,2.60099,0.91226,1,0.39354,0.86146,0.681,0.74478,2.4013,0.84101,0.00273227,0.000910755,0.00273227,0.000910755,0.00273227,0.000910755,0.00273227,0.000910755
8,28.9797,0.66647,2.33936,0.88456,0.9337,0.70293,0.89458,0.6977,0.79155,1.94348,0.86237,0.00305858,0.00101953,0.00305858,0.00101953,0.00305858,0.00101953,0.00305858,0.00101953
9,32.1976,0.67663,1.9015,0.87542,0.90056,0.85781,0.9253,0.73532,0.79867,1.58139,0.86498,0.00336707,0.00112236,0.00336707,0.00112236,0.00336707,0.00112236,0.00336707,0.00112236
10,35.1241,0.57401,1.61105,0.84658,0.91857,0.89771,0.9253,0.76391,0.72984,1.39767,0.8512,0.00365774,0.00121925,0.00365774,0.00121925,0.00365774,0.00121925,0.00365774,0.00121925
11,38.02,0.55791,1.49012,0.87742,0.93309,0.92387,0.93789,0.78671,0.72075,1.30884,0.82842,0.00393059,0.0013102,0.00393059,0.0013102,0.00393059,0.0013102,0.00393059,0.0013102
12,41.0285,0.64568,1.58968,0.88336,0.94095,0.92857,0.96269,0.80173,0.66236,1.18192,0.81308,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,44.2005,0.62755,1.48248,0.87153,0.94967,0.92353,0.98625,0.83261,0.67094,1.12574,0.81036,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,47.316,0.59669,1.38161,0.86333,0.95782,0.92274,0.98625,0.8158,0.65837,1.06793,0.81167,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,50.3358,0.65348,1.27353,0.86067,0.947,0.98229,0.995,0.82424,0.68181,1.01006,0.83001,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
