epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.8185,0.69328,3.84865,0.94849,0.00364,0.90952,0.21862,0.19182,0.34793,3.3965,0.83263,0.0009999,0.0003333,0.0009999,0.0003333,0.0009999,0.0003333,0.0009999,0.0003333
2,36.4356,0.50337,3.51289,0.89478,0.00338,0.94286,0.34976,0.3311,0.31437,3.19084,0.81835,0.00199287,0.000664291,0.00199287,0.000664291,0.00199287,0.000664291,0.00199287,0.000664291
3,53.6159,0.485,2.86781,0.87852,0.29077,0.62857,0.46575,0.44206,0.39096,2.03417,0.82657,0.00294493,0.000981644,0.00294493,0.000981644,0.00294493,0.000981644,0.00294493,0.000981644
4,70.8248,0.46383,2.20054,0.8797,0.71984,0.58819,0.56653,0.53011,0.35793,1.59705,0.82738,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
5,87.6877,0.46821,1.86872,0.88362,0.93302,0.62857,0.7283,0.67599,0.35656,1.1178,0.82162,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
6,104.946,0.47448,1.5447,0.89012,0.91527,0.80476,0.9037,0.81847,0.33314,0.87752,0.82543,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
7,121.322,0.43172,1.34746,0.8737,0.95797,0.89608,0.98071,0.89043,0.33383,0.80778,0.82718,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
8,137.79,0.41901,1.19387,0.86327,0.93188,0.9935,0.995,0.92155,0.32618,0.73599,0.82808,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
9,153.936,0.41145,1.08708,0.87528,0.95168,1,0.9915,0.91555,0.3138,0.70595,0.822,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
10,169.214,0.39774,1.07959,0.85419,0.95915,1,0.995,0.89828,0.33031,0.69793,0.82089,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
11,185.172,0.38647,0.99098,0.85315,0.95504,0.99524,0.995,0.89897,0.32844,0.66124,0.82516,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
12,200.825,0.36729,0.93449,0.84913,0.97582,0.99894,0.995,0.90076,0.3271,0.62621,0.82384,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
13,215.865,0.3826,0.92845,0.85458,0.97784,0.99913,0.995,0.9213,0.30644,0.59602,0.82229,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
14,230.696,0.36961,0.90338,0.84031,0.97676,0.99267,0.995,0.91553,0.29088,0.61017,0.81952,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
15,245.826,0.36531,0.88546,0.83875,0.95995,0.97474,0.9845,0.91408,0.29729,0.57736,0.81907,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
16,261.056,0.33962,0.85206,0.84105,0.98174,0.94286,0.9826,0.89615,0.31748,0.57011,0.81925,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
17,276.181,0.36011,0.86935,0.84341,0.9791,0.96977,0.9915,0.88135,0.3156,0.57275,0.82111,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
18,292.587,0.34093,0.81794,0.84364,0.92524,0.99296,0.9845,0.88952,0.29516,0.55883,0.82604,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
19,308.456,0.34061,0.81312,0.83714,0.90731,0.99518,0.97633,0.88369,0.30488,0.5447,0.82636,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
20,323.975,0.35389,0.80171,0.84867,0.92559,1,0.988,0.89801,0.31517,0.53188,0.82376,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
21,338.777,0.34475,0.80873,0.84308,0.92389,0.99411,0.988,0.89186,0.3076,0.51447,0.82628,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
22,353.587,0.34506,0.7857,0.84337,0.97945,0.97143,0.9866,0.90149,0.29206,0.4872,0.82565,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
23,368.732,0.33256,0.7628,0.83871,0.97667,0.94286,0.9826,0.90354,0.28924,0.47952,0.82181,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
24,383.629,0.33075,0.76011,0.83671,0.97384,0.94286,0.9826,0.90835,0.2827,0.46296,0.82336,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
25,398.349,0.34219,0.76484,0.84582,0.97296,0.94286,0.97464,0.89507,0.29301,0.4679,0.82536,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
26,413.752,0.31949,0.74051,0.83518,0.93914,0.94286,0.97167,0.88534,0.28546,0.45789,0.82654,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
27,429.199,0.31353,0.70987,0.83118,0.97561,0.94286,0.97167,0.8821,0.29364,0.46415,0.83034,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
28,446.22,0.31791,0.70792,0.82935,0.98035,0.94286,0.974,0.89615,0.28108,0.43804,0.82765,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
29,461.725,0.31071,0.71567,0.84086,0.98147,0.94286,0.97808,0.89371,0.29486,0.43973,0.82991,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
30,476.276,0.32491,0.69793,0.84052,0.98432,0.97143,0.981,0.8992,0.29958,0.43942,0.83152,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
31,491.267,0.3189,0.70384,0.8417,0.97324,0.94286,0.97808,0.88757,0.30572,0.42035,0.82897,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
32,505.818,0.30318,0.68699,0.83326,0.94124,0.94286,0.97789,0.87958,0.28104,0.4145,0.82669,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
33,520.259,0.30664,0.68579,0.83113,0.98209,0.94286,0.97073,0.88862,0.27326,0.39973,0.82644,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
34,534.667,0.30345,0.66854,0.83654,0.9798,0.94286,0.977,0.88297,0.28748,0.40634,0.82625,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
35,549.152,0.30829,0.69645,0.83291,0.98013,0.94286,0.97167,0.89655,0.28854,0.40386,0.82745,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
36,563.91,0.31097,0.68771,0.83847,0.97625,0.94286,0.97274,0.88997,0.28118,0.38642,0.82617,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
37,578.536,0.27982,0.64855,0.8257,0.96941,0.94286,0.974,0.88454,0.27627,0.36946,0.826,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
38,593.936,0.30272,0.64558,0.83493,0.90531,0.99811,0.97789,0.89058,0.26925,0.36637,0.82197,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
39,608.005,0.2945,0.63774,0.83531,0.98352,0.91429,0.97041,0.89725,0.27746,0.37394,0.82468,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
40,622.658,0.28469,0.64887,0.81786,0.98214,0.94286,0.97073,0.90439,0.27275,0.36661,0.82399,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
41,637.491,0.26054,0.87411,0.78572,0.97803,0.94286,0.9782,0.89504,0.27467,0.37731,0.82091,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
42,651.763,0.25677,0.88397,0.79685,0.97836,0.94286,0.97213,0.88425,0.28256,0.39994,0.82222,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
43,665.918,0.25458,0.87496,0.78768,0.97757,0.96617,0.981,0.87871,0.27633,0.37709,0.82414,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
44,679.872,0.24869,0.86682,0.79336,0.97885,0.94286,0.977,0.88278,0.27331,0.37308,0.82275,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
45,693.839,0.25156,0.85192,0.79191,0.98244,0.9583,0.98333,0.88609,0.2686,0.3619,0.8228,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
46,707.846,0.24664,0.85449,0.80388,0.95162,0.95894,0.98082,0.88679,0.27019,0.35392,0.82293,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
47,721.634,0.23429,0.84284,0.78827,0.9263,0.97143,0.97082,0.87389,0.26453,0.36166,0.82278,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
